iteration,total_iterations,elapsed_seconds,loss,pg_loss,vf_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,reward,episodes,wins,losses,draws,win_pct,loss_pct,draw_pct,episode_length,cities,lr,sps,eval_wins,eval_losses,eval_draws,eval_win_pct
995,2000,16962,1.3844,0.0218,2.6507,5.931,0.0116,0.06,4.43,0.91,0.0,278.0,67,89,122,24,32,44,943.0,0.0,0.0001,32159.0,,,,
996,2000,16979,1.4007,0.0255,2.6748,5.874,0.0102,0.06,5.36,0.91,0.0,288.0,74,114,100,26,40,35,910.0,0.01,0.0001,32157.0,,,,
997,2000,16995,1.3696,0.015,2.6349,5.916,0.0085,0.06,5.15,0.92,0.0,229.0,66,59,104,29,26,45,1145.0,0.01,0.0001,32117.0,,,,
998,2000,17012,1.4266,0.0239,2.7298,5.809,0.0079,0.06,6.21,0.92,0.0,262.0,77,99,86,29,38,33,1001.0,0.01,0.0001,32132.0,,,,
999,2000,17028,1.4498,0.0215,2.7822,5.673,0.0077,0.06,6.05,0.91,0.0,329.0,95,123,111,29,37,34,797.0,0.02,0.0001,32119.0,242,12,258,47
1000,2000,17059,1.4875,0.0295,2.841,5.563,0.0099,0.08,5.57,0.93,0.0,391.0,124,157,110,32,40,28,670.0,0.02,0.0001,32306.0,,,,
1001,2000,17077,1.5009,0.0241,2.8756,5.67,0.0081,0.06,8.92,0.91,0.0,340.0,108,149,83,32,44,24,771.0,0.01,0.0001,30944.0,,,,
1002,2000,17093,1.4381,0.0231,2.7537,5.798,0.0092,0.07,4.12,0.91,0.0,263.0,100,92,71,38,35,27,997.0,0.01,0.0001,32117.0,,,,
1003,2000,17110,1.4131,0.022,2.7063,5.775,0.0093,0.07,3.75,0.9,0.0,244.0,78,89,77,32,36,32,1074.0,0.01,0.0001,32053.0,,,,
1004,2000,17126,1.4154,0.0222,2.7108,5.782,0.0085,0.07,4.53,0.92,0.0,234.0,77,81,76,33,35,32,1120.0,0.01,0.0001,32051.0,,,,
1005,2000,17142,1.4162,0.0277,2.705,5.805,0.009,0.07,4.4,0.9,0.0,283.0,85,100,98,30,35,35,926.0,0.01,0.0001,32047.0,,,,
1006,2000,17159,1.4228,0.0268,2.7176,5.793,0.0084,0.07,5.1,0.9,0.0,254.0,75,96,83,30,38,33,1032.0,0.01,0.0001,32036.0,,,,
1007,2000,17175,1.4358,0.0269,2.7438,5.758,0.0062,0.05,6.4,0.9,0.0,265.0,82,106,77,31,40,29,989.0,0.02,0.0001,32054.0,,,,
1008,2000,17192,1.4685,0.031,2.8007,5.679,0.0079,0.07,4.6,0.88,0.0,308.0,101,125,82,33,41,27,851.0,0.02,0.0001,32037.0,,,,
1009,2000,17208,1.4215,0.0302,2.7092,5.789,0.0071,0.06,4.88,0.92,0.0,255.0,75,104,76,29,41,30,1028.0,0.03,0.0001,32048.0,,,,
1010,2000,17225,1.4097,0.0258,2.6941,5.847,0.0083,0.06,3.91,0.93,0.0,225.0,68,80,77,30,36,34,1165.0,0.03,0.0001,32059.0,,,,
1011,2000,17241,1.4389,0.0295,2.7453,5.857,0.0057,0.05,8.56,0.92,0.0,234.0,79,87,68,34,37,29,1120.0,0.03,0.0001,32048.0,,,,
1012,2000,17257,1.375,0.0251,2.6294,5.967,0.0076,0.06,5.36,0.95,0.0,211.0,60,73,78,28,35,37,1242.0,0.02,0.0001,32018.0,,,,
1013,2000,17274,1.3809,0.0301,2.6319,5.961,0.0077,0.05,4.95,0.94,0.0,207.0,53,70,84,26,34,41,1266.0,0.02,0.0001,32038.0,,,,
1014,2000,17290,1.384,0.026,2.6455,5.978,0.0072,0.06,3.8,0.93,0.0,213.0,61,68,84,29,32,39,1231.0,0.02,0.0001,32105.0,,,,
1015,2000,17307,1.4295,0.0268,2.7329,5.863,0.008,0.06,3.96,0.92,0.0,237.0,76,93,68,32,39,29,1106.0,0.04,0.0001,32052.0,,,,
1016,2000,17323,1.4112,0.0274,2.6967,5.872,0.0083,0.06,2.98,0.93,0.0,247.0,92,88,67,37,36,27,1061.0,0.05,0.0001,32048.0,,,,
1017,2000,17339,1.4433,0.0296,2.7567,5.937,0.0068,0.05,4.81,0.92,0.0,266.0,97,98,71,36,37,27,986.0,0.05,0.0001,32044.0,,,,
1018,2000,17356,1.3901,0.0203,2.6671,5.961,0.0066,0.05,3.93,0.94,0.0,196.0,69,61,66,35,31,34,1337.0,0.04,0.0001,32094.0,,,,
1019,2000,17372,1.4188,0.0227,2.7186,5.84,0.0062,0.05,4.76,0.93,0.0,234.0,87,78,69,37,33,29,1120.0,0.06,0.0001,32047.0,,,,
1020,2000,17389,1.4294,0.0242,2.7395,5.909,0.0072,0.05,3.85,0.94,0.0,251.0,74,90,87,29,36,35,1044.0,0.06,0.0001,32050.0,,,,
1021,2000,17406,1.4444,0.0276,2.7623,5.936,0.0076,0.05,4.18,0.94,0.0,251.0,94,88,69,37,35,27,1044.0,0.05,0.0001,30939.0,,,,
1022,2000,17422,1.4251,0.0184,2.7414,5.956,0.0058,0.04,4.46,0.95,0.0,235.0,79,94,62,34,40,26,1116.0,0.04,0.0001,32095.0,,,,
1023,2000,17439,1.4654,0.0185,2.8211,5.844,0.005,0.04,5.39,0.94,0.0,266.0,92,99,75,35,37,28,986.0,0.04,0.0001,32106.0,,,,
1024,2000,17455,1.4513,0.0244,2.783,5.87,0.0057,0.05,6.21,0.95,0.0,281.0,77,112,92,27,40,33,933.0,0.05,0.0001,32098.0,,,,
1025,2000,17471,1.4342,0.0265,2.7413,5.811,0.007,0.06,3.92,0.95,0.0,247.0,82,97,68,33,39,28,1061.0,0.07,0.0001,32103.0,,,,
1026,2000,17488,1.416,0.0241,2.7131,5.918,0.0066,0.05,3.54,0.95,0.0,234.0,69,82,83,29,35,35,1120.0,0.06,0.0001,32098.0,,,,
1027,2000,17504,1.46,0.0259,2.7968,5.808,0.0067,0.06,5.02,0.94,0.0,293.0,110,98,85,38,33,29,895.0,0.04,0.0001,32097.0,,,,
1028,2000,17520,1.4528,0.0317,2.7697,5.819,0.0066,0.05,4.35,0.93,0.0,281.0,102,104,75,36,37,27,933.0,0.03,0.0001,32125.0,,,,
1029,2000,17537,1.4262,0.0204,2.7402,5.919,0.0061,0.05,6.95,0.95,0.0,229.0,64,92,73,28,40,32,1145.0,0.04,0.0001,32119.0,,,,
1030,2000,17553,1.4715,0.0285,2.8143,5.86,0.0056,0.05,8.49,0.94,0.0,281.0,91,111,79,32,40,28,933.0,0.04,0.0001,32094.0,,,,
1031,2000,17570,1.4545,0.0337,2.7702,5.918,0.0057,0.04,5.11,0.94,0.0,271.0,85,106,80,31,39,30,967.0,0.04,0.0001,32101.0,,,,
1032,2000,17586,1.4766,0.0287,2.826,5.876,0.0062,0.05,5.49,0.93,0.0,276.0,104,103,69,38,37,25,950.0,0.04,0.0001,32156.0,,,,
1033,2000,17602,1.4943,0.0271,2.8642,5.825,0.0058,0.05,6.15,0.93,0.0,303.0,120,109,74,40,36,24,865.0,0.03,0.0001,32095.0,,,,
1034,2000,17619,1.522,0.0214,2.9304,5.744,0.0042,0.04,11.98,0.92,0.0,350.0,106,152,92,30,43,26,749.0,0.03,0.0001,32082.0,,,,
1035,2000,17635,1.4935,0.0183,2.8797,5.806,0.0068,0.06,6.13,0.92,0.0,345.0,105,163,77,30,47,22,760.0,0.03,0.0001,32089.0,,,,
