iteration,total_iterations,elapsed_seconds,loss,pg_loss,vf_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,reward,episodes,wins,losses,draws,win_pct,loss_pct,draw_pct,episode_length,cities,lr,sps,eval_wins,eval_losses,eval_draws,eval_win_pct
2001,8000,227,1.7517,-0.0294,3.4886,5.293,0.012,0.08,5.05,0.84,0.0,710.0,325,385,0,46,54,0,369.0,0.0,0.0001,2831.0,,,,
2002,8000,252,1.5817,-0.0253,3.144,5.713,0.0097,0.07,3.33,0.87,0.0,463.0,246,217,0,53,47,0,566.0,0.02,0.0001,21765.0,,,,
2003,8000,270,1.5859,-0.0116,3.1239,5.655,0.009,0.06,3.72,0.89,0.0,342.0,149,193,0,44,56,0,767.0,0.1,0.0001,31824.0,,,,
2004,8000,286,1.491,-0.0146,2.9415,5.824,0.0084,0.06,3.15,0.92,0.0,306.0,140,141,25,46,46,8,857.0,0.18,0.0001,31766.0,,,,
2005,8000,303,1.495,-0.0238,2.9714,5.858,0.0069,0.05,3.81,0.91,0.0,321.0,141,152,28,44,47,9,817.0,0.23,0.0001,31738.0,,,,
2006,8000,319,1.5142,-0.0007,2.9648,5.826,0.0086,0.05,3.54,0.93,0.0,371.0,165,157,49,44,42,13,707.0,0.22,0.0001,31742.0,,,,
2007,8000,336,1.6179,-0.0044,3.1752,5.642,0.0094,0.07,3.25,0.91,0.0,504.0,245,242,17,49,48,3,520.0,0.22,0.0001,31717.0,,,,
2008,8000,353,1.6341,-0.0063,3.2114,5.573,0.0112,0.06,3.95,0.92,0.0,548.0,271,254,23,49,46,4,478.0,0.17,0.0001,31710.0,,,,
2009,8000,369,1.6309,-0.0124,3.2159,5.549,0.0116,0.06,4.05,0.92,0.0,624.0,307,301,16,49,48,3,420.0,0.1,0.0001,31705.0,,,,
2010,8000,386,1.6426,-0.0183,3.2494,5.454,0.0113,0.06,4.47,0.92,0.0,686.0,322,352,12,47,51,2,382.0,0.03,0.0001,31740.0,,,,
2011,8000,402,1.6826,-0.0065,3.3054,5.382,0.0091,0.06,4.98,0.92,0.0,636.0,322,306,8,51,48,1,412.0,0.01,0.0001,31793.0,,,,
2012,8000,419,1.6726,-0.0033,3.2789,5.38,0.0082,0.06,7.21,0.93,0.0,624.0,278,340,6,45,54,1,420.0,0.0,0.0001,31675.0,,,,
2013,8000,436,1.6966,0.0057,3.3079,5.237,0.0184,0.07,6.59,0.92,0.0,641.0,289,347,5,45,54,1,409.0,0.02,0.0001,31746.0,,,,
2014,8000,452,1.7353,-0.0134,3.4218,5.009,0.0089,0.07,6.96,0.92,0.0,728.0,316,404,8,43,55,1,360.0,0.01,0.0001,31769.0,,,,
2015,8000,469,1.7526,0.0076,3.4132,4.939,0.0184,0.09,4.48,0.93,0.0,793.0,368,424,1,46,53,0,331.0,0.02,0.0001,31729.0,,,,
2016,8000,485,1.7303,0.0147,3.3543,4.928,0.0154,0.09,5.25,0.94,0.0,713.0,315,395,3,44,55,0,368.0,0.01,0.0001,31757.0,,,,
