iteration,total_iterations,elapsed_seconds,loss,pg_loss,vf_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,reward,episodes,wins,losses,draws,win_pct,loss_pct,draw_pct,episode_length,cities,lr,sps,eval_wins,eval_losses,eval_draws,eval_win_pct
2001,8000,229,1.8028,-0.0058,3.5436,5.191,0.0119,0.09,5.93,0.91,0.0,599.0,260,339,0,43,57,0,438.0,0.0,0.0001,2803.0,,,,
2002,8000,254,1.5364,-0.0054,3.0131,5.565,0.0113,0.09,3.67,0.97,0.0,299.0,143,156,0,48,52,0,877.0,0.01,0.0001,22004.0,,,,
2003,8000,271,1.5332,-0.0066,3.0087,5.465,0.0109,0.09,3.47,0.95,0.0,360.0,132,228,0,37,63,0,728.0,0.01,0.0001,32241.0,,,,
2004,8000,287,1.5586,-0.0079,3.0614,5.382,0.0092,0.08,4.84,0.92,0.0,417.0,214,180,23,51,43,6,629.0,0.02,0.0001,32277.0,,,,
2005,8000,304,1.623,-0.0172,3.2093,5.359,0.0084,0.07,7.06,0.92,0.0,441.0,241,190,10,55,43,2,594.0,0.01,0.0001,32287.0,,,,
2006,8000,320,1.7117,-0.0245,3.3982,5.095,0.0087,0.07,12.83,0.93,0.0,593.0,384,202,7,65,34,1,442.0,0.0,0.0001,32183.0,,,,
2007,8000,336,1.714,-0.0181,3.3895,5.001,0.0094,0.07,10.61,0.94,0.0,595.0,362,224,9,61,38,2,441.0,0.01,0.0001,32193.0,,,,
2008,8000,353,1.6602,-0.0115,3.2705,5.202,0.0123,0.09,6.7,0.95,0.0,536.0,337,189,10,63,35,2,489.0,0.01,0.0001,32176.0,,,,
2009,8000,369,1.5631,0.0025,3.051,5.463,0.0102,0.07,4.81,0.97,0.0,406.0,259,128,19,64,32,5,646.0,0.02,0.0001,32205.0,,,,
2010,8000,385,1.4947,0.0093,2.9008,5.563,0.0105,0.07,5.39,0.97,0.0,344.0,228,108,8,66,31,2,762.0,0.02,0.0001,32154.0,,,,
2011,8000,402,1.4527,0.014,2.8086,5.692,0.0114,0.07,3.43,0.97,0.0,272.0,152,109,11,56,40,4,964.0,0.01,0.0001,32166.0,,,,
2012,8000,418,1.464,0.0066,2.8473,5.725,0.0095,0.06,4.17,0.95,0.0,274.0,139,113,22,51,41,8,957.0,0.02,0.0001,32158.0,,,,
2013,8000,434,1.5927,0.0099,3.0961,5.476,0.0108,0.07,4.78,0.91,0.0,428.0,200,207,21,47,48,5,612.0,0.01,0.0001,32186.0,,,,
2014,8000,451,1.6415,0.0144,3.1811,5.278,0.015,0.09,6.01,0.91,0.0,583.0,203,369,11,35,63,2,450.0,0.02,0.0001,32199.0,,,,
2015,8000,467,1.688,0.0267,3.2494,5.236,0.0105,0.08,19.62,0.92,0.0,511.0,200,302,9,39,59,2,513.0,0.02,0.0001,32262.0,,,,
2016,8000,483,1.6044,0.0263,3.082,5.212,0.01,0.08,5.54,0.94,0.0,388.0,148,232,8,38,60,2,676.0,0.02,0.0001,32190.0,,,,
2017,8000,500,1.6286,0.0343,3.1148,5.13,0.0074,0.07,8.5,0.93,0.0,378.0,133,231,14,35,61,4,694.0,0.04,0.0001,32147.0,,,,
2018,8000,516,1.5937,0.0323,3.0513,5.212,0.0088,0.08,6.22,0.93,0.0,336.0,127,181,28,38,54,8,780.0,0.06,0.0001,32161.0,,,,
2019,8000,533,1.5906,0.0257,3.0588,5.197,0.0106,0.09,5.1,0.9,0.0,342.0,129,175,38,38,51,11,767.0,0.06,0.0001,32164.0,,,,
2020,8000,549,1.6467,0.0239,3.1724,5.0,0.0129,0.11,4.98,0.88,0.0,399.0,162,211,26,41,53,7,657.0,0.06,0.0001,32161.0,,,,
2021,8000,566,1.6338,0.0207,3.1536,5.222,0.0146,0.1,6.75,0.87,0.0,446.0,195,238,13,44,53,3,588.0,0.04,0.0001,31032.0,,,,
2022,8000,582,1.5663,-0.0007,3.0634,5.335,0.0075,0.07,8.3,0.88,0.0,353.0,154,184,15,44,52,4,743.0,0.03,0.0001,32222.0,,,,
2023,8000,599,1.4865,0.0059,2.8926,5.533,0.0105,0.07,4.62,0.91,0.0,299.0,109,156,34,36,52,11,877.0,0.04,0.0001,32204.0,,,,
2024,8000,615,1.5715,0.0116,3.0507,5.394,0.0096,0.09,4.13,0.87,0.0,392.0,127,222,43,32,57,11,669.0,0.06,0.0001,32224.0,,,,
2025,8000,631,1.6012,0.0132,3.1055,5.408,0.0114,0.09,3.85,0.87,0.0,476.0,160,283,33,34,59,7,551.0,0.02,0.0001,32228.0,,,,
2026,8000,648,1.5811,-0.0021,3.0967,5.447,0.0092,0.07,11.09,0.9,0.0,416.0,146,253,17,35,61,4,630.0,0.02,0.0001,32201.0,,,,
2027,8000,664,1.6664,-0.0128,3.287,5.202,0.0079,0.07,7.72,0.9,0.0,547.0,232,284,31,42,52,6,479.0,0.05,0.0001,32219.0,,,,
2028,8000,680,1.7977,-0.0116,3.5497,4.927,0.0093,0.08,7.3,0.91,0.0,867.0,370,393,104,43,45,12,302.0,0.06,0.0001,32218.0,,,,
2029,8000,697,1.8483,-0.0077,3.638,4.75,0.0108,0.09,5.37,0.91,0.0,1012.0,449,505,58,44,50,6,259.0,0.02,0.0001,32207.0,,,,
2030,8000,713,1.8643,0.0089,3.6335,4.624,0.0134,0.1,6.19,0.91,0.0,962.0,494,444,24,51,46,2,272.0,0.01,0.0001,32232.0,,,,
2031,8000,729,1.8636,0.0247,3.5998,4.659,0.0089,0.08,7.51,0.91,0.0,924.0,506,414,4,55,45,0,284.0,0.0,0.0001,32265.0,,,,
2032,8000,745,1.8423,0.0176,3.571,4.587,0.0157,0.11,4.84,0.9,0.0,947.0,552,389,6,58,41,1,277.0,0.01,0.0001,32229.0,,,,
2033,8000,762,1.8434,0.0195,3.5695,4.663,0.0118,0.1,6.4,0.9,0.0,898.0,527,370,1,59,41,0,292.0,0.01,0.0001,32223.0,,,,
2034,8000,778,1.7984,0.0289,3.4619,4.787,0.0095,0.08,4.66,0.91,0.0,845.0,461,379,5,55,45,1,310.0,0.01,0.0001,32223.0,,,,
2035,8000,794,1.7517,0.0176,3.3925,4.884,0.0089,0.08,4.96,0.92,0.0,761.0,435,322,4,57,42,1,344.0,0.03,0.0001,32227.0,,,,
