iteration,total_iterations,elapsed_seconds,loss,pg_loss,vf_loss,entropy,approx_kl,clip_frac,grad_norm,explained_variance,reward,episodes,wins,losses,draws,win_pct,loss_pct,draw_pct,episode_length,cities,lr,sps,eval_wins,eval_losses,eval_draws,eval_win_pct
4624,8000,44780,1.7559,0.0007,3.4428,4.694,0.0138,0.09,4.97,0.93,0.0,871.0,438,429,4,50,49,0,301.0,0.04,4.6e-05,31879.0,,,,
4625,8000,44796,1.7169,-0.0117,3.3898,4.68,0.0119,0.09,3.41,0.93,0.0,856.0,395,450,11,46,53,1,306.0,0.04,4.6e-05,31811.0,,,,
4626,8000,44813,1.711,-0.0164,3.3876,4.716,0.0116,0.08,4.12,0.93,0.0,757.0,369,378,10,49,50,1,346.0,0.04,4.6e-05,31812.0,,,,
4627,8000,44829,1.6784,-0.0145,3.3181,4.788,0.0125,0.08,4.45,0.94,0.0,753.0,369,375,9,49,50,1,348.0,0.05,4.6e-05,31815.0,,,,
4628,8000,44846,1.7039,-0.023,3.3866,4.779,0.0103,0.07,4.64,0.94,0.0,844.0,378,455,11,45,54,1,311.0,0.04,4.6e-05,31818.0,,,,
4629,8000,44862,1.6905,-0.0157,3.3456,4.753,0.0117,0.08,5.48,0.94,0.0,792.0,391,390,11,49,49,1,331.0,0.04,4.6e-05,31816.0,,,,
4630,8000,44879,1.6583,-0.0268,3.3038,4.807,0.01,0.07,7.24,0.94,0.0,727.0,362,352,13,50,48,2,361.0,0.04,4.6e-05,31854.0,,,,
4631,8000,44895,1.6582,-0.0232,3.2965,4.858,0.0096,0.07,4.58,0.95,0.0,694.0,338,342,14,49,49,2,378.0,0.03,4.6e-05,31880.0,,,,
4632,8000,44912,1.6903,-0.0212,3.3572,4.807,0.0129,0.08,4.64,0.94,0.0,728.0,368,346,14,51,48,2,360.0,0.02,4.6e-05,31822.0,,,,
4633,8000,44928,1.6865,-0.0209,3.3477,4.795,0.0125,0.08,4.0,0.94,0.0,816.0,433,374,9,53,46,1,321.0,0.02,4.6e-05,31845.0,,,,
4634,8000,44945,1.7183,-0.0233,3.4149,4.637,0.0119,0.09,3.09,0.94,0.0,899.0,456,436,7,51,48,1,292.0,0.04,4.6e-05,31817.0,,,,
4635,8000,44961,1.7858,0.0019,3.4989,4.594,0.0103,0.08,3.39,0.94,0.0,910.0,444,460,6,49,51,1,288.0,0.04,4.6e-05,31872.0,,,,
4636,8000,44978,1.7566,-0.0033,3.4512,4.614,0.0133,0.08,3.1,0.94,0.0,935.0,467,466,2,50,50,0,280.0,0.04,4.6e-05,31878.0,,,,
4637,8000,44994,1.7093,-0.0091,3.3685,4.705,0.0108,0.08,3.21,0.95,0.0,875.0,460,412,3,53,47,0,300.0,0.03,4.6e-05,31836.0,,,,
4638,8000,45011,1.7195,-0.005,3.3806,4.661,0.0101,0.07,4.53,0.94,0.0,860.0,453,401,6,53,47,1,305.0,0.03,4.6e-05,31814.0,,,,
4639,8000,45028,1.7209,0.0071,3.3608,4.815,0.0127,0.08,3.36,0.95,0.0,864.0,448,410,6,52,47,1,303.0,0.03,4.6e-05,31812.0,,,,
4640,8000,45044,1.7026,0.0064,3.325,4.723,0.0112,0.08,3.51,0.95,0.0,759.0,358,397,4,47,52,1,345.0,0.04,4.6e-05,31858.0,,,,
4641,8000,45061,1.7595,0.0022,3.4482,4.743,0.0124,0.08,2.61,0.93,0.0,883.0,467,410,6,53,46,1,297.0,0.05,4.6e-05,30728.0,,,,
4642,8000,45078,1.7153,-0.0038,3.3733,4.852,0.0102,0.07,3.68,0.94,0.0,817.0,407,397,13,50,49,2,321.0,0.04,4.6e-05,31925.0,,,,
4643,8000,45094,1.7445,0.0017,3.4197,4.817,0.0108,0.08,2.86,0.93,0.0,856.0,413,433,10,48,51,1,306.0,0.04,4.6e-05,31861.0,,,,
4644,8000,45111,1.7435,0.0064,3.4075,4.827,0.0127,0.08,2.46,0.93,0.0,971.0,494,474,3,51,49,0,270.0,0.02,4.6e-05,31856.0,,,,
4645,8000,45127,1.7706,0.0258,3.4237,4.841,0.0126,0.08,3.07,0.93,0.0,940.0,482,451,7,51,48,1,279.0,0.01,4.6e-05,31878.0,,,,
4646,8000,45144,1.7789,0.0181,3.4558,4.842,0.0111,0.08,3.06,0.93,0.0,992.0,495,492,5,50,50,1,264.0,0.01,4.6e-05,31933.0,,,,
4647,8000,45160,1.7845,0.0112,3.4797,4.727,0.0107,0.07,3.57,0.93,0.0,863.0,418,442,3,48,51,0,304.0,0.02,4.6e-05,31914.0,,,,
4648,8000,45177,1.7622,0.0132,3.4315,4.759,0.0108,0.08,3.65,0.93,0.0,907.0,461,445,1,51,49,0,289.0,0.01,4.6e-05,31872.0,,,,
4649,8000,45193,1.7704,0.0213,3.432,4.833,0.0133,0.08,3.48,0.94,0.0,889.0,461,425,3,52,48,0,295.0,0.02,4.6e-05,31858.0,143,1,368,28
4650,8000,45225,1.7872,0.0287,3.4507,4.808,0.0097,0.07,4.33,0.94,0.0,875.0,462,408,5,53,47,1,300.0,0.02,4.6e-05,32073.0,,,,
4651,8000,45241,1.7743,0.0212,3.4402,4.806,0.0107,0.08,2.87,0.94,0.0,927.0,494,424,9,53,46,1,283.0,0.02,4.6e-05,31889.0,,,,
4652,8000,45258,1.7784,0.0118,3.4659,4.69,0.0097,0.07,3.33,0.94,0.0,1005.0,512,490,3,51,49,0,261.0,0.02,4.6e-05,31879.0,,,,
4653,8000,45274,1.7624,0.015,3.4276,4.721,0.0108,0.08,2.81,0.94,0.0,948.0,455,492,1,48,52,0,277.0,0.01,4.6e-05,31913.0,,,,
4654,8000,45291,1.7404,0.008,3.399,4.811,0.0105,0.08,2.79,0.94,0.0,896.0,436,455,5,49,51,1,293.0,0.01,4.6e-05,31848.0,,,,
4655,8000,45307,1.7997,0.0135,3.5056,4.754,0.0101,0.07,3.63,0.94,0.0,958.0,477,478,3,50,50,0,274.0,0.01,4.6e-05,31866.0,,,,
4656,8000,45324,1.8054,0.0097,3.5239,4.618,0.0103,0.08,4.07,0.93,0.0,1029.0,558,468,3,54,45,0,255.0,0.01,4.6e-05,31850.0,,,,
4657,8000,45340,1.7719,-0.0023,3.4813,4.659,0.0098,0.07,3.06,0.93,0.0,971.0,482,480,9,50,49,1,270.0,0.01,4.6e-05,31903.0,,,,
4658,8000,45357,1.7784,0.008,3.4743,4.653,0.0093,0.07,4.46,0.94,0.0,893.0,396,492,5,44,55,1,294.0,0.01,4.6e-05,31852.0,,,,
4659,8000,45373,1.8009,-0.0054,3.5447,4.531,0.0094,0.07,5.6,0.94,0.0,999.0,502,494,3,50,49,0,262.0,0.02,4.6e-05,31920.0,,,,
4660,8000,45390,1.8131,-0.0025,3.5633,4.525,0.0116,0.08,3.0,0.93,0.0,1052.0,506,541,5,48,51,0,249.0,0.02,4.6e-05,31858.0,,,,
4661,8000,45407,1.8241,-0.0236,3.6272,4.503,0.0128,0.08,2.96,0.92,0.0,1175.0,561,610,4,48,52,0,223.0,0.01,4.6e-05,30767.0,,,,
